G7331,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
8,鹰潭北,G1353,16:38,16:41,3:14,当日到达,3分钟,
9,南昌西,G1353,17:16,17:20,3:52,当日到达,4分钟,
10,新余北,G1353,17:52,17:54,4:28,当日到达,2分钟,
11,宜春,G1353,18:09,18:11,4:45,当日到达,2分钟,
12,长沙南,G1353,18:56,18:56,5:32,当日到达,0分钟,
,,,,,,,,
G1395,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1395,----,18:28,0:00,当日到达,0分钟,
2,嘉兴南,G1395,18:55,18:57,0:27,当日到达,2分钟,
3,海宁西,G1395,19:12,19:14,0:44,当日到达,2分钟,
4,杭州东,G1395,19:27,19:31,0:59,当日到达,4分钟,
5,义乌,G1395,20:05,20:08,1:37,当日到达,3分钟,
6,金华,G1395,20:24,20:28,1:56,当日到达,4分钟,
7,上饶,G1395,21:13,21:15,2:45,当日到达,2分钟,
8,抚州东,G1395,21:50,21:52,3:22,当日到达,2分钟,
9,南昌西,G1395,22:19,22:19,3:51,当日到达,0分钟,
